25.50 &  7.25 &  0.04 \\
75.50 & -1.17 &  0.03 \\
125.50 &  3.46 &  0.15 \\
175.50 &  1.57 &  0.16 \\
225.50 &  2.98 &  0.28 \\
275.50 &  6.11 &  0.49 \\
325.50 & 17.26 &  1.77 \\
375.50 & 16.84 &  1.76 \\
425.50 & 25.31 &  2.83 \\
475.50 & 17.61 &  1.03 \\
525.50 & 11.39 &  1.06 \\
575.50 & 12.22 &  1.20 \\
625.50 & 44.56 &  3.15 \\
675.50 & 44.37 &  3.15 \\
725.50 & 38.13 &  4.72 \\
775.50 & 20.70 &  2.07 \\
825.50 & 17.18 &  1.58 \\
875.50 & 16.95 &  1.61 \\
925.50 & 38.47 &  1.98 \\
975.50 & 36.24 &  3.03 \\
1025.50 & 35.36 &  3.14 \\
1075.50 & 33.47 &  1.59 \\
1125.50 & 17.43 &  0.96 \\
1175.50 & 13.64 &  0.92 \\
1225.50 & 24.78 &  1.92 \\
1275.50 & 31.77 &  1.63 \\
1325.50 & 33.00 &  1.79 \\
1375.50 & 22.41 &  0.73 \\
1425.50 & 14.58 &  0.85 \\
1475.50 &  8.54 &  0.96 \\
1525.50 & 16.08 &  0.87 \\
1575.50 & 20.32 &  0.80 \\
1625.50 & 22.18 &  1.33 \\
1675.50 & 18.75 &  1.20 \\
1725.50 & 10.22 &  0.79 \\
1775.50 &  7.33 &  0.57 \\
1825.50 &  7.82 &  0.53 \\
1875.50 & 10.52 &  0.79 \\
1925.50 &  9.64 &  0.64 \\
1975.50 & 10.25 &  0.66 \\
2025.50 &  7.37 &  0.55 \\
2075.50 &  6.31 &  0.56 \\
2125.50 &  5.16 &  0.51 \\
2175.50 &  5.90 &  0.55 \\
2225.50 &  3.47 &  0.54 \\
2275.50 &  7.35 &  0.55 \\
2325.50 &  4.34 &  0.58 \\
2375.50 &  2.50 &  0.57 \\
2425.50 &  2.82 &  0.57 \\
2475.50 &  1.49 &  0.60 \\
2525.50 &  4.93 &  0.65 \\
2575.50 &  2.49 &  0.66 \\
2625.50 &  2.88 &  0.67 \\
2675.50 &  3.07 &  0.69 \\
2725.50 &  2.34 &  0.73 \\
2775.50 & -0.03 &  0.76 \\
2825.50 &  1.16 &  0.76 \\
2875.50 &  0.17 &  0.77 \\
2925.50 & -1.09 &  0.81 \\
2975.50 &  1.04 &  0.82 \\
3025.50 & -0.50 &  0.85 \\
3075.50 &  1.35 &  0.87 \\
3125.50 &  0.59 &  0.89 \\
3175.50 & -0.57 &  0.94 \\
3225.50 & -0.81 &  0.98 \\
3275.50 &  3.65 &  0.98 \\
3325.50 & -2.21 &  0.97 \\
3375.50 & -0.58 &  1.02 \\
3425.50 &  0.83 &  1.02 \\
3475.50 &  0.07 &  1.06 \\
3525.50 &  1.54 &  1.07 \\
3575.50 &  0.23 &  1.13 \\
3625.50 &  2.63 &  1.13 \\
3675.50 & -0.13 &  1.20 \\
3725.50 & -2.37 &  1.20 \\
3775.50 & -1.47 &  1.24 \\
3825.50 &  4.71 &  1.27 \\
3875.50 & -0.83 &  1.30 \\
3925.50 &  0.92 &  1.34 \\
3975.50 & -5.03 &  1.40 \\
4025.50 & -0.59 &  1.41 \\
4075.50 & -4.00 &  1.45 \\
4125.50 & -3.55 &  1.46 \\
4175.50 &  1.42 &  1.46 \\
4225.50 &  5.46 &  1.54 \\
4275.50 &  2.85 &  1.53 \\
4325.50 &  3.06 &  1.60 \\
4375.50 & -3.12 &  1.60 \\
4425.50 & -0.71 &  1.67 \\
4475.50 & -5.45 &  1.68 \\
4525.50 & -0.87 &  1.67 \\
4575.50 &  6.51 &  1.77 \\
4625.50 &  1.59 &  1.80 \\
4675.50 &  0.40 &  1.85 \\
4725.50 &  3.62 &  1.90 \\
4775.50 & -2.04 &  1.97 \\
4825.50 &  5.38 &  2.04 \\
4875.50 & -0.99 &  2.08 \\
4925.50 &  6.98 &  2.08 \\
4975.50 & -1.05 &  2.12 \\
